Time,Data
2.324,-0.01078819679844192
2.328,-0.030028187424737195
2.332,0.012709010613954883
2.336,-0.012577143434578804
2.34,-0.04888719225522287
2.344,-0.07222168031156803
2.348,-0.09358115368999087
2.352,-0.10396615994182927
2.356,-0.13637724792371442
2.36,-0.12881496763610553
2.364,-0.10127987006009269
2.368,-0.09377250699251724
2.372,-0.10129343087947404
2.376,-0.09384319464825135
2.38,-0.11142235153776779
2.384,-0.11703145492757076
2.388,-0.11667105816545163
2.392,-0.07234171439374655
2.396,-0.07404397637438154
2.4,-0.01177839631272918
2.404,0.055454474319665714
2.408,0.22165408496341585
2.412,0.43481988615061873
2.416,0.8239513296851133
2.42,1.276047868823597
2.424,1.7781089584575356
2.428,2.230134055295802
2.432,2.50212261804797
2.436,2.4990741076081924
2.44,2.208987987239605
2.444,1.7148637227591736
2.448,1.1667007827229148
2.452,0.653498638611431
2.456,0.2652567650156755
2.46,-0.025025360177119607
2.464,-0.1433482555974186
2.468,-0.1917124362073494
2.472,-0.2081184131147091
2.476,-0.1985666933871099
2.48,-0.21705777986631308
2.484,-0.26059217098284343
2.488,-0.27717036057094296
2.492,-0.27779283768394747
2.496,-0.30146008641015115
2.5,-0.33017258568924074
2.504,-0.31193080912936527
2.508,-0.33973522482491936
2.512,-0.3365862951751137
2.516,-0.3434844767034012
2.52,-0.3964302198778392
2.524,-0.37142396893245305
2.528,-0.3604661616896816
2.532,-0.35355722938397083
2.536,-0.3526975964865922
2.54,-0.33988768053175716
2.544,-0.4011278919440964
2.548,-0.3864186338675837
2.552,-0.3897603019959631
2.556,-0.3621532844047652
2.56,-0.35459796138497024
2.564,-0.3580947052783941
2.568,-0.34764388031486854
2.572,-0.31524584245127946
2.576,-0.31490093921253615
2.58,-0.3496095095345391
2.584,-0.35937188360920885
2.588,-0.3841883827316551
2.592,-0.372059319149534
2.596,-0.3489849959146777
2.6,-0.3359657067370475
2.604,-0.32400173584108516
2.608,-0.33909335782451644
2.612,-0.33624083751967615
2.616,-0.30144442985741426
2.62,-0.3127043797336446
2.624,-0.313020921878597
2.628,-0.3083942807288299
2.632,-0.31382467030206473
2.636,-0.27131229407489904
2.64,-0.2798573448634537
2.644,-0.28446000470701044
2.648,-0.2751204447546954
2.652,-0.2918388251552609
2.656,-0.2766152949500206
2.66,-0.28044999196898174
2.664,-0.24434304273024163
2.668,-0.22229456234267395
2.672,-0.19630465441197661
2.676,-0.21937341095011306
2.68,-0.26250091228819766
2.684,-0.21368722699286938
2.688,-0.2379324117862002
2.692,-0.2042365114691754
2.696,-0.21759955884878968
2.7,-0.1770215746687978
2.704,-0.13850256754416201
